id,Gender,Age_months,Age_group,Midtesting_age_months,Midtesting_age_group,Median_split_age,AdditionalSupportNeeds,Dropout,Reason_Dropout,Training_Crit_reached,Trial_nr,Success,Success_in0and1,Cumulative_Nr_of_Trials_Correct,Cumul_Proportion_Correct,Stopped_Early,Test_Nr_CorrectTrials,Test_Nr_Mistakes,Nr_administeredTrials,ProportionCorrect,Reasoning,Video,Comments
1,m,61,5,62,5,old,no,no,,"yes, within 3 trials",1,yes,1,1,1,no,13,7,20,0.65,yellow and grey,ID1_AdditionalTask_Bing_m_5y,
1,m,61,5,62,5,old,no,no,,"yes, within 3 trials",2,yes,1,2,1,no,13,7,20,0.65,yellow and grey,ID1_AdditionalTask_Bing_m_5y,
1,m,61,5,62,5,old,no,no,,"yes, within 3 trials",3,yes,1,3,1,no,13,7,20,0.65,yellow and grey,ID1_AdditionalTask_Bing_m_5y,
1,m,61,5,62,5,old,no,no,,"yes, within 3 trials",4,yes,1,4,1,no,13,7,20,0.65,yellow and grey,ID1_AdditionalTask_Bing_m_5y,
1,m,61,5,62,5,old,no,no,,"yes, within 3 trials",5,yes,1,5,1,no,13,7,20,0.65,yellow and grey,ID1_AdditionalTask_Bing_m_5y,
1,m,61,5,62,5,old,no,no,,"yes, within 3 trials",6,no,0,5,0.833333333,no,13,7,20,0.65,yellow and grey,ID1_AdditionalTask_Bing_m_5y,
1,m,61,5,62,5,old,no,no,,"yes, within 3 trials",7,yes,1,6,0.857142857,no,13,7,20,0.65,yellow and grey,ID1_AdditionalTask_Bing_m_5y,
1,m,61,5,62,5,old,no,no,,"yes, within 3 trials",8,yes,1,7,0.875,no,13,7,20,0.65,yellow and grey,ID1_AdditionalTask_Bing_m_5y,
1,m,61,5,62,5,old,no,no,,"yes, within 3 trials",9,yes,1,8,0.888888889,no,13,7,20,0.65,yellow and grey,ID1_AdditionalTask_Bing_m_5y,
1,m,61,5,62,5,old,no,no,,"yes, within 3 trials",10,yes,1,9,0.9,no,13,7,20,0.65,yellow and grey,ID1_AdditionalTask_Bing_m_5y,
1,m,61,5,62,5,old,no,no,,"yes, within 3 trials",11,yes,1,10,0.909090909,no,13,7,20,0.65,yellow and grey,ID1_AdditionalTask_Bing_m_5y,
1,m,61,5,62,5,old,no,no,,"yes, within 3 trials",12,yes,1,11,0.916666667,no,13,7,20,0.65,yellow and grey,ID1_AdditionalTask_Bing_m_5y,
1,m,61,5,62,5,old,no,no,,"yes, within 3 trials",13,no,0,11,0.846153846,no,13,7,20,0.65,yellow and grey,ID1_AdditionalTask_Bing_m_5y,
1,m,61,5,62,5,old,no,no,,"yes, within 3 trials",14,yes,1,12,0.857142857,no,13,7,20,0.65,yellow and grey,ID1_AdditionalTask_Bing_m_5y,
1,m,61,5,62,5,old,no,no,,"yes, within 3 trials",15,no,0,12,0.8,no,13,7,20,0.65,yellow and grey,ID1_AdditionalTask_Bing_m_5y,
1,m,61,5,62,5,old,no,no,,"yes, within 3 trials",16,no,0,12,0.75,no,13,7,20,0.65,yellow and grey,ID1_AdditionalTask_Bing_m_5y,
1,m,61,5,62,5,old,no,no,,"yes, within 3 trials",17,yes,1,13,0.764705882,no,13,7,20,0.65,yellow and grey,ID1_AdditionalTask_Bing_m_5y,
1,m,61,5,62,5,old,no,no,,"yes, within 3 trials",18,no,0,13,0.722222222,no,13,7,20,0.65,yellow and grey,ID1_AdditionalTask_Bing_m_5y,
1,m,61,5,62,5,old,no,no,,"yes, within 3 trials",19,no,0,13,0.684210526,no,13,7,20,0.65,yellow and grey,ID1_AdditionalTask_Bing_m_5y,
1,m,61,5,62,5,old,no,no,,"yes, within 3 trials",20,no,0,13,0.65,no,13,7,20,0.65,yellow and grey,ID1_AdditionalTask_Bing_m_5y,
2,m,42,3,42,3,young,no information,no,,"yes, within 3 trials",1,no,0,0,0,no,9,11,20,0.45,did not ask,ID2_AdditionalTask_Bing_m_3y,
2,m,42,3,42,3,young,no information,no,,"yes, within 3 trials",2,no,0,0,0,no,9,11,20,0.45,did not ask,ID2_AdditionalTask_Bing_m_3y,
2,m,42,3,42,3,young,no information,no,,"yes, within 3 trials",3,yes,1,1,0.333333333,no,9,11,20,0.45,did not ask,ID2_AdditionalTask_Bing_m_3y,
2,m,42,3,42,3,young,no information,no,,"yes, within 3 trials",4,yes,1,2,0.5,no,9,11,20,0.45,did not ask,ID2_AdditionalTask_Bing_m_3y,
2,m,42,3,42,3,young,no information,no,,"yes, within 3 trials",5,yes,1,3,0.6,no,9,11,20,0.45,did not ask,ID2_AdditionalTask_Bing_m_3y,
